# CO2 SO2 NO2 PM2.5 Temp Viento Humedad
Norte
958.00 16.50 32.00 21.00 20.00 14.00 10.00
956.00 16.20 31.50 20.70 20.00 14.00 10.00
954.00 16.00 31.00 20.50 20.00 14.00 10.00
952.00 15.80 30.50 20.20 20.00 14.00 10.00
950.00 15.60 30.00 20.00 20.00 14.00 10.00
948.00 15.30 29.50 19.70 20.00 14.00 10.00
946.00 15.10 29.00 19.50 20.00 14.00 10.00
944.00 14.80 28.50 19.20 20.00 14.00 10.00
942.00 14.60 28.00 19.00 20.00 14.00 10.00
940.00 14.30 27.50 18.70 20.00 14.00 10.00
938.00 14.10 27.00 18.50 20.00 14.00 10.00
936.00 13.80 26.50 18.20 20.00 14.00 10.00
50.00 10.00 100.00 4.00 20.00 14.00 10.00
1.00 1.00 1.00 1.00 20.00 14.00 10.00
2.00 2.00 22.00 2.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
600.00 12.00 20.00 15.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
600.00 12.00 20.00 15.00 20.00 14.00 10.00
1200.00 30.00 50.00 35.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
600.00 12.00 20.00 15.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
600.00 12.00 20.00 15.00 20.00 14.00 10.00
1200.00 30.00 50.00 35.00 20.00 14.00 10.00
600.00 12.00 20.00 15.00 20.00 14.00 10.00
350.00 5.00 10.00 5.00 20.00 14.00 10.00
998.00 47.00 5.00 55.00 20.00 14.00 10.00
Centro
940.00 17.20 33.50 20.00 55.00 14.00 20.00
938.00 17.00 33.20 19.80 55.00 14.00 20.00
936.00 16.80 33.00 19.60 55.00 14.00 20.00
934.00 16.50 32.80 19.40 55.00 14.00 20.00
932.00 16.20 32.50 19.20 55.00 14.00 20.00
930.00 16.00 32.20 19.00 55.00 14.00 20.00
928.00 15.80 32.00 18.80 55.00 14.00 20.00
926.00 15.50 31.80 18.60 55.00 14.00 20.00
924.00 15.20 31.50 18.40 55.00 14.00 20.00
922.00 15.00 31.20 18.20 55.00 14.00 20.00
920.00 14.80 31.00 18.00 55.00 14.00 20.00
918.00 14.50 30.80 17.80 55.00 14.00 20.00
10.00 20.00 45.00 95.00 55.00 14.00 20.00
1.00 1.00 340.00 1.00 55.00 14.00 20.00
2.00 2.00 610.00 2.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
0.00 0.00 0.00 0.00 55.00 14.00 20.00
887.00 5.00 4.00 5.00 55.00 14.00 20.00
Sur
956.00 17.90 31.50 18.60 20.00 25.00 10.00
953.00 17.60 30.80 18.00 20.00 25.00 10.00
950.00 17.20 30.00 17.50 20.00 25.00 10.00
948.00 16.90 29.30 17.00 20.00 25.00 10.00
945.00 16.50 28.50 16.40 20.00 25.00 10.00
942.00 16.20 27.80 15.90 20.00 25.00 10.00
939.00 15.80 27.00 15.30 20.00 25.00 10.00
936.00 15.50 26.30 14.80 20.00 25.00 10.00
933.00 15.10 25.50 14.20 20.00 25.00 10.00
930.00 14.80 24.80 13.70 20.00 25.00 10.00
927.00 14.40 24.00 13.10 20.00 25.00 10.00
924.00 14.10 23.30 12.60 20.00 25.00 10.00
10.00 20.00 30.00 40.00 20.00 25.00 10.00
62.00 1.00 1.00 360.00 20.00 25.00 10.00
58.00 2.00 2.00 620.00 20.00 25.00 10.00
340.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 11.50 19.50 14.50 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 11.50 19.50 14.50 20.00 25.00 10.00
0.00 28.00 48.00 33.00 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 11.50 19.50 14.50 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
0.00 11.50 19.50 14.50 20.00 25.00 10.00
0.00 28.00 48.00 33.00 20.00 25.00 10.00
0.00 11.50 19.50 14.50 20.00 25.00 10.00
0.00 4.00 9.00 4.00 20.00 25.00 10.00
999.00 55.00 44.00 1.00 20.00 25.00 10.00
Este
948.00 14.80 29.00 18.00 10.00 3.00 10.00
945.00 14.40 28.20 17.60 10.00 3.00 10.00
942.00 14.00 27.50 17.10 10.00 3.00 10.00
939.00 13.60 26.70 16.60 10.00 3.00 10.00
936.00 13.20 26.00 16.20 10.00 3.00 10.00
933.00 12.80 25.20 15.70 10.00 3.00 10.00
930.00 12.40 24.50 15.20 10.00 3.00 10.00
927.00 12.00 23.70 14.80 10.00 3.00 10.00
924.00 11.60 23.00 14.30 10.00 3.00 10.00
921.00 11.20 22.20 13.80 10.00 3.00 10.00
918.00 10.80 21.50 13.40 10.00 3.00 10.00
915.00 10.40 20.70 12.90 10.00 3.00 10.00
60.00 50.00 40.00 60.00 10.00 3.00 10.00
65.00 1.00 1.00 345.00 10.00 3.00 10.00
57.00 2.00 2.00 590.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
0.00 0.00 0.00 0.00 10.00 3.00 10.00
999.00 55.00 44.00 22.00 10.00 3.00 10.00
Oeste
936.00 14.70 29.70 17.40 10.00 25.00 20.00
932.00 14.30 28.90 16.80 10.00 25.00 20.00
928.00 13.80 28.20 16.30 10.00 25.00 20.00
924.00 13.40 27.40 15.70 10.00 25.00 20.00
920.00 12.90 26.70 15.10 10.00 25.00 20.00
916.00 12.50 25.90 14.60 10.00 25.00 20.00
912.00 12.00 25.20 14.00 10.00 25.00 20.00
908.00 11.60 24.40 13.50 10.00 25.00 20.00
904.00 11.10 23.70 12.90 10.00 25.00 20.00
900.00 10.70 22.90 12.40 10.00 25.00 20.00
896.00 10.20 22.20 11.80 10.00 25.00 20.00
892.00 9.80 21.40 11.30 10.00 25.00 20.00
20.00 30.00 35.00 65.00 10.00 25.00 20.00
61.00 1.00 1.00 355.00 10.00 25.00 20.00
56.00 2.00 2.00 605.00 10.00 25.00 20.00
360.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 13.00 21.00 16.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 13.00 21.00 16.00 10.00 25.00 20.00
0.00 29.50 52.00 37.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 13.00 21.00 16.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
0.00 13.00 21.00 16.00 10.00 25.00 20.00
0.00 29.50 52.00 37.00 10.00 25.00 20.00
0.00 13.00 21.00 16.00 10.00 25.00 20.00
0.00 6.00 8.00 5.00 10.00 25.00 20.00
777.00 14.00 4.00 22.00 10.00 25.00 20.00
